66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,もろ,,あわれ　思え　と思え,モロ　トモに　諸共に　あわれ　諸共
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,はるの,,,ハルノ
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,こころに,,,ココロに　ココロ
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,あらし,,,アラシ　みむろ
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,さ,,眺む,サビ　寂しさに　宿を　たち
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,ゆふ,ゆう,,ユウ　門田の　夕去れば
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,おと,,,オトに　高師の
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,たか,,,タカ　おのえの　サゴノ
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,うか,,,ウカ　人を　うかり　ケル　ヒト
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,ちぎりお,,,チギリ　チギ　リオ
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,わたのはらこ,,,漕ぎ
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,せ,,,セ　ハヤミ　岩に　せかるる
78,淡路島　通ふ千鳥の　鳴く声に,あわじしま　かよふちどりの　なくこゑに,あはぢ,あわじ,,アワジ
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,あきか,,,アキカ　カゼに
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,ながか,,,ナガカ　絡む　カラム
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,ほ,,眺む,ホト　ホトトギス　鳴き　不如帰
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,おもひ,おもい,,オモイ　思い
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,よのなかよ,,,道
84,長らえば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,ながら,,長らえ　この頃　偲ばれ,ナガラ
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,よも,,おもう　思う,ヨモ　物思う　スガラ　世もす
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,なげけ,,,ナゲケ　月やわ　トテ
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,む,,,ム　ムラサメ　梅雨も
88,難波江の　蘆のかりねの　ひとよゆゑ,なにわえの　あしのかりねの　ひとよゆゑ,なにわえ,,,にわ
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのおよ　たえなばたえね　ながらえば,たま,,絶えねば,タマ　玉のおよ
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,みせ,,おじま,ミセ　バヤナ　おじま　雄島の
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,きり,,しろに　なくや　霜夜,キリ　鳴くや　ナク　ヤシ　キリギリ
