札番号,元の漢字,元のひらがな,元の現代語,単語数,総文字数（満点）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目)
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,おもい,5,13,おもひ,おもい,思ひ 思ひわ わび,
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,,5,15,よのなかよ,,世の 世の中 中よ の中よ,
84,長らへば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,,5,13,ながら,,長ら 長らへ へば らへば,
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,,5,12,よも,,夜も 夜もす がら すがら,
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,,5,13,なげけ,,嘆け 嘆けと とて けとて,
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,,5,10,む,,村雨 村雨の 雨の,むら
88,難波江の　蘆のかりねの　ひとよゆゑ,なにはえの　あしのかりねの　ひとよゆゑ,,5,14,なにはえ,,難波 難波江 江の 波江の,
89,玉の緒よ　絶えなば絶えね　ながらえば,たまのをよ　たえなばたえね　ながらえば,,5,12,たま,,玉の 玉の緒 緒よ の緒よ,
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,,5,12,みせ,,見せ 見せば やな ばやな,
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,,5,12,きり,,きりぎ りす ぎりす,ぎり
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,,5,13,わがそ,,わが わが袖 袖は が袖は,
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,,5,15,よのなかは,,世の 世の中 中は の中は,
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,,5,12,みよ,,み吉 み吉野 野の 吉野の,
95,おほけなく　憂き世の民に　おほふかな,おほけなく　うきよのたみに　おほふかな,おおけ,5,13,おほけ,おおけ,おほ なく けなく,
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,,5,13,はなさ,,花さ 花さそ そふ さそふ,
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,,5,12,こぬ,,来ぬ 来ぬ人 人を ぬ人を,
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,,5,13,かぜそ,,風そ 風そよ よぐ そよぐ,
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,,5,13,ひとも,,人も 人も惜 惜し も惜し,
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,,5,11,もも,,百敷 百敷や 敷や,しき
