札ID,総単語数,総文字数,決まり字単語リスト,手動単語リスト,現代語単語リスト,1句目単語リスト,2句目単語リスト
91,18,44,きり,しろに なくや 霜夜,,きりぎ りす ぎりす ぎり,鳴く 鳴くや 夜の 霜夜の なく やし もよ もよの くやし よの
92,17,42,わがそ,,,わが わが袖 袖は が袖は そで そでは では,潮干 潮干に えぬ 見えぬ しほ ひに みえ みえぬ ほひに
93,17,43,よのなかは,,,世の 世の中 中は の中は よの なか なかは かは,常に 常にも もな がもな つね にも がも ねにも
94,18,43,みよ,,,み吉 み吉野 野の 吉野の しの しのの のの,山の 山の秋 秋風 の秋風 やま のあ きか きかぜ まのあ かぜ
95,18,44,おほけ,おおう おお,おおけ,おほ なく けなく けな,憂き 憂き世 民に の民に うき よの たみ たみに きよの みに
96,17,41,はなさ,,,花さ 花さそ そふ さそふ はな さそ,嵐の 嵐の庭 庭の の庭の あら しの には にはの らしの はの
97,18,43,こぬ,,,来ぬ 来ぬ人 人を ぬ人を ひと ひとを とを,松帆 松帆の 浦の の浦の まつ ほの うら うらの つほの らの
98,17,41,かぜそ,,,風そ 風そよ よぐ そよぐ かぜ そよ,楢の 楢の小 川の 小川の なら のを がは がはの らのを はの
99,17,43,ひとも,あじき,,人も 人も惜 惜し も惜し ひと もを もをし をし,人も恨 めし 恨めし もう らめ らめし ともう
100,17,40,もも,,,百敷 百敷や 敷や しき しきや きや,古き 古き軒 端の 軒端の ふる きの きば きばの るきの ばの
