札番号,元の漢字,元のひらがな,単語数(元システム),満点スコア(元システム),決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,22,51,ふ,,吹く 吹くか らに からに,秋の 秋の草 木の 草木の,しを しをる れば るれば,,,ふく から,あき のく さき さきの きのく きの,るれ,,
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,20,48,つき,,月見 月見れ れば 見れば,ちぢ ちぢに こそ のこそ,悲し 悲しけ けれ しけれ,,,みれ みれば,にも のこ ぢにも,かな しけ,,
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,19,45,この,,このた びは たびは,ぬさ ぬさも へず あへず,手向 手向山 向山,,,たび,もと りあ さもと,たむ けや けやま やま,,
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,23,56,なにし,,名に 名にし はば 負はば,逢坂 逢坂山 山の 坂山の,さね さねか づら かづら,,,なに しお おはば,あふ さか やま やまの ふさか まの,かづ,,
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,24,56,をぐ,おぐ,小倉 小倉山 倉山,峰の 峰のも ぢ葉 みぢ葉,心あ 心あら らば あらば,,,らや らやま やま,みね のも みぢ みぢば ねのも ぢば,ここ ろあ,,
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,20,48,みかの,,みか の原 かの原,わき わきて るる 流るる,泉川,,,のは のはら はら,てな がる がるる きてな,いづ みが みがは がは,,
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,22,53,やまざ,,山里 山里は 里は,冬ぞ 冬ぞ寂 しさ 寂しさ,まさ まさり ける りける,,,やま ざと ざとは とは,ふゆ ぞさ びし びしさ ゆぞさ,りけ,,
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,22,54,こころあ,,心あ 心あて てに あてに,折ら 折らば らむ 折らむ,初霜 初霜の 霜の,,,ここ ろあ,をら ばや をらむ らばや,はつ しも しもの もの,,
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,22,53,ありあ,,有明 有明の 明の,つれ つれな えし 見えし,別れ 別れよ より れより,,,あり あけ あけの けの,なく みえ みえし れなく,わか れよ,,
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,23,58,あさぼらけあ,,朝ぼ 朝ぼら らけ ぼらけ,有明 有明の 月と の月と,見る 見るま でに までに,,,あさ ぼら,あり あけ のつ つきと りあけ きと,みる まで,,
32,山川に　風のかけたる　しがらみは,やまがはに　かぜのかけたる　しがらみは,21,50,やまが,,山川 山川に 川に,風の 風のか たる けたる,しが しがら みは らみは,,,やま がは がはに はに,かぜ のか けた ぜのか,らみ,,
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,21,50,ひさ,,ひさか たの かたの,光の 光のど けき どけき,春の 春の日 日に の日に,,,かた,ひか りの どけ かりの,はる のひ のひに ひに,,
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,21,49,たれ,,誰を 誰をか かも をかも,知る 知る人 せむ にせむ,高砂 高砂の 砂の,,,をか,しる ひと にせ るひと,たか さご さごの ごの,,
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,21,51,ひとは,,人は 人はい いさ はいさ,心も 心も知 らず 知らず,ふる ふるさ とは さとは,,,ひと はい,ここ ろも しら しらず ころも,さと,,
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,21,50,なつ,,夏の 夏の夜 夜は の夜は,まだ まだ宵 がら ながら,明け 明けぬ るを ぬるを,,,のよ のよは よは,よひ なが だよひ,あけ ぬる,,
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,23,54,しら,,白露 白露に 露に,風の 風の吹 しく きしく,秋の 秋の野 野は の野は,,,つゆ つゆに ゆに,かぜ のふ きし ぜのふ,あき のの ののは のは,,
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,22,53,わすら,,忘ら 忘らる るる らるる,身を 身をば はず 思はず,誓ひ 誓ひて てし ひてし,,,わす らる,みを ばお もは もはず をばお,ちか ひて,,
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,25,61,あさぢ,あさじ,浅茅 浅茅生 生の 茅生の,小野 小野の 篠原 の篠原,しの しのぶ れど ぶれど,,,あさ ぢふ ぢふの ふの,をの のし のは のはら ののし はら,ぶれ,,
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,20,48,しの,,しのぶ れど ぶれど,色に 色に出 けり にけり,わが わが恋 恋は が恋は,,,ぶれ,いろ にい でに ろにい,こひ こひは ひは,,
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,20,47,こひ,こい,恋す 恋すて てふ すてふ,わが わが名 だき まだき,立ち 立ちに けり にけり,,,すて,なは まだ がなは,たち にけ,,
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,21,52,ちぎりき,,契り 契りき きな りきな,かた かたみ 袖を に袖を,しぼ しぼり つつ りつつ,,,ちぎ りき,みに そで そでを たみに でを,りつ,,
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,22,53,あひ,あい,逢ひ 逢ひ見 ての 見ての,のち のちの 心に の心に,くら くらぶ れば ぶれば,,,みて みての,のこ ころ ころに ちのこ ろに,ぶれ,,
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,20,49,あふこ,おおこ,逢ふ 逢ふこ との ことの,絶え 絶えて くは なくは,なか なかな かに なかに,,,あふ こと,たえ てし なく えてし,,,
45,あはれとも　いふべき人は　思ほえで,あはれとも　いふべきひとは　おもほえで,21,51,あはれ,あわれ,あは とも れとも,いふ いふべ 人は き人は,思ほ 思ほえ えで ほえで,,,れと,べき ひと ひとは ふべき とは,おも ほえ,,
