札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,13,32,つれ つれな えし 見えし なく みえ みえし れなく 別れ 別れよ より れより わか
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,13,31,有明 有明の 月と の月と あり あけ のつ つきと りあけ きと 見る 見るま でに
32,山川に　風のかけたる　しがらみは,やまがわに　かぜのかけたる　しがらみは,13,33,しがらみ 風の 風のか たる けたる かぜ のか けた ぜのか しが しがら みは らみは
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,13,31,のど 日に 光の 光のど けき どけき ひか りの どけ かりの 春の 春の日 の日に
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,13,31,にせん せん 知る 知る人 せむ にせむ しる ひと にせ るひと 高砂 高砂の 砂の
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,13,34,故郷は ふるさと 心も 心も知 らず 知らず ここ ろも しら しらず ころも ふる ふるさ
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,13,31,明けぬ よい まだ まだ宵 がら ながら よひ なが だよひ 明け るを ぬるを あけ
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,13,31,風の 風の吹 しく きしく かぜ のふ きし ぜのふ 秋の 秋の野 野は の野は あき
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,13,32,身を 身をば はず 思はず みを ばお もは もはず をばお 誓ひ 誓ひて てし ひてし
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,13,31,小野 小野の 篠原 の篠原 をの のし のは のはら ののし はら しの しのぶ れど
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,13,31,こいは いで わが恋 色に 色に出 けり にけり いろ にい でに ろにい わが 恋は
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,13,33,すちょう 名は わが わが名 だき まだき なは まだ がなは 立ち 立ちに けり にけり
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,13,32,形見に しぼり かた かたみ 袖を に袖を みに そで そでを たみに でを しぼ つつ
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,13,32,のち のちの 心に の心に のこ ころ ころに ちのこ ろに くら くらぶ れば ぶれば
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,13,34,しなく 中々に なかなか 絶え 絶えて くは なくは たえ てし なく えてし なか なかな
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,13,31,いう いふ いふべ 人は き人は べき ひと ひとは ふべき とは 思お 思おえ えで
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,13,31,渡る 渡る舟 舟人 る舟人 わた るふ なび なびと たるふ びと かぢ かぢを 絶え
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,13,32,さび やえ やえむ しげ しげれ 宿の る宿の れる やど やどの げれる どの さびし
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,13,31,岩う 岩うつ 波の つ波の いは うつ なみ なみの はうつ みの おの おのれ のみ
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,13,31,衛士 衛士の 火の く火の ゑじ のた くひ くひの じのた ひの 夜は 夜は燃 燃え
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,13,30,おし 惜し 惜しか りし ざりし をし から ざり しから 命さ 命さへ さへ いの
