札番号,登録キーワード,文字数,生成元の情報
34,高砂の,3,漢字パーツ (3句目)
34,たか,2,ひらがなパーツ (3句目)
34,さごの,3,ひらがなパーツ (3句目)
35,ひとは,3,決まり字
35,人は,2,漢字パーツ (1句目)
35,人はい,3,漢字パーツ (1句目)
35,いさ,2,漢字パーツ (1句目)
35,はいさ,3,漢字パーツ (1句目)
35,ひと,2,ひらがなパーツ (1句目)
35,はい,2,ひらがなパーツ (1句目)
35,心も,2,漢字パーツ (2句目)
35,心も知,3,漢字パーツ (2句目)
35,らず,2,漢字パーツ (2句目)
35,知らず,3,漢字パーツ (2句目)
35,ここ,2,ひらがなパーツ (2句目)
35,ろも,2,ひらがなパーツ (2句目)
35,しら,2,ひらがなパーツ (2句目)
35,しらず,3,ひらがなパーツ (2句目)
35,ころも,3,ひらがなパーツ (2句目)
35,ふる,2,漢字パーツ (3句目)
35,さとは,3,漢字パーツ (3句目)
36,なつ,2,決まり字
36,夏の,2,漢字パーツ (1句目)
36,夏の夜,3,漢字パーツ (1句目)
36,夜は,2,漢字パーツ (1句目)
36,の夜は,3,漢字パーツ (1句目)
36,のよ,2,ひらがなパーツ (1句目)
36,のよは,3,ひらがなパーツ (1句目)
36,よは,2,ひらがなパーツ (1句目)
36,まだ,2,漢字パーツ (2句目)
36,まだ宵,3,漢字パーツ (2句目)
36,がら,2,漢字パーツ (2句目)
36,ながら,3,漢字パーツ (2句目)
36,よひ,2,ひらがなパーツ (2句目)
36,なが,2,ひらがなパーツ (2句目)
36,だよひ,3,ひらがなパーツ (2句目)
36,明け,2,漢字パーツ (3句目)
36,ぬるを,3,漢字パーツ (3句目)
36,あけ,2,ひらがなパーツ (3句目)
37,しら,2,決まり字
37,白露,2,漢字パーツ (1句目)
37,白露に,3,漢字パーツ (1句目)
37,露に,2,漢字パーツ (1句目)
37,つゆ,2,ひらがなパーツ (1句目)
37,つゆに,3,ひらがなパーツ (1句目)
37,ゆに,2,ひらがなパーツ (1句目)
37,風の,2,漢字パーツ (2句目)
37,風の吹,3,漢字パーツ (2句目)
37,しく,2,漢字パーツ (2句目)
37,きしく,3,漢字パーツ (2句目)
37,かぜ,2,ひらがなパーツ (2句目)
37,のふ,2,ひらがなパーツ (2句目)
37,きし,2,ひらがなパーツ (2句目)
37,ぜのふ,3,ひらがなパーツ (2句目)
37,秋の,2,漢字パーツ (3句目)
37,の野は,3,漢字パーツ (3句目)
37,あき,2,ひらがなパーツ (3句目)
37,ののは,3,ひらがなパーツ (3句目)
38,わすら,3,決まり字
38,忘ら,2,漢字パーツ (1句目)
38,忘らる,3,漢字パーツ (1句目)
38,るる,2,漢字パーツ (1句目)
38,らるる,3,漢字パーツ (1句目)
38,わす,2,ひらがなパーツ (1句目)
38,らる,2,ひらがなパーツ (1句目)
38,身を,2,漢字パーツ (2句目)
38,身をば,3,漢字パーツ (2句目)
38,はず,2,漢字パーツ (2句目)
38,思はず,3,漢字パーツ (2句目)
38,みを,2,ひらがなパーツ (2句目)
38,ばお,2,ひらがなパーツ (2句目)
38,もは,2,ひらがなパーツ (2句目)
38,もはず,3,ひらがなパーツ (2句目)
38,をばお,3,ひらがなパーツ (2句目)
38,誓ひ,2,漢字パーツ (3句目)
38,ひてし,3,漢字パーツ (3句目)
38,ちか,2,ひらがなパーツ (3句目)
39,あさぢ,3,決まり字
39,あさじ,3,現代語発音（全体）
39,浅茅,2,漢字パーツ (1句目)
39,浅茅生,3,漢字パーツ (1句目)
39,生の,2,漢字パーツ (1句目)
39,茅生の,3,漢字パーツ (1句目)
39,あさ,2,ひらがなパーツ (1句目)
39,ぢふ,2,ひらがなパーツ (1句目)
39,ぢふの,3,ひらがなパーツ (1句目)
39,ふの,2,ひらがなパーツ (1句目)
39,小野,2,漢字パーツ (2句目)
39,小野の,3,漢字パーツ (2句目)
39,篠原,2,漢字パーツ (2句目)
39,の篠原,3,漢字パーツ (2句目)
39,をの,2,ひらがなパーツ (2句目)
39,のし,2,ひらがなパーツ (2句目)
39,のは,2,ひらがなパーツ (2句目)
39,のはら,3,ひらがなパーツ (2句目)
39,ののし,3,ひらがなパーツ (2句目)
39,はら,2,ひらがなパーツ (2句目)
39,しの,2,漢字パーツ (3句目)
39,ぶれど,3,漢字パーツ (3句目)
40,しの,2,決まり字
40,しのぶ,3,漢字パーツ (1句目)
40,れど,2,漢字パーツ (1句目)
40,ぶれど,3,漢字パーツ (1句目)
40,ぶれ,2,ひらがなパーツ (1句目)
40,色に,2,漢字パーツ (2句目)
40,色に出,3,漢字パーツ (2句目)
40,けり,2,漢字パーツ (2句目)
40,にけり,3,漢字パーツ (2句目)
40,いろ,2,ひらがなパーツ (2句目)
40,にい,2,ひらがなパーツ (2句目)
40,でに,2,ひらがなパーツ (2句目)
40,ろにい,3,ひらがなパーツ (2句目)
40,わが,2,漢字パーツ (3句目)
40,が恋は,3,漢字パーツ (3句目)
40,こひは,3,ひらがなパーツ (3句目)
41,こひ,2,決まり字
41,こい,2,現代語発音（全体）
41,恋す,2,漢字パーツ (1句目)
41,恋すて,3,漢字パーツ (1句目)
41,てふ,2,漢字パーツ (1句目)
41,すてふ,3,漢字パーツ (1句目)
41,すて,2,ひらがなパーツ (1句目)
41,わが,2,漢字パーツ (2句目)
41,わが名,3,漢字パーツ (2句目)
41,だき,2,漢字パーツ (2句目)
41,まだき,3,漢字パーツ (2句目)
41,なは,2,ひらがなパーツ (2句目)
41,まだ,2,ひらがなパーツ (2句目)
41,がなは,3,ひらがなパーツ (2句目)
41,立ち,2,漢字パーツ (3句目)
41,にけり,3,漢字パーツ (3句目)
41,たち,2,ひらがなパーツ (3句目)
42,ちぎりき,4,決まり字
42,契り,2,漢字パーツ (1句目)
42,契りき,3,漢字パーツ (1句目)
42,きな,2,漢字パーツ (1句目)
42,りきな,3,漢字パーツ (1句目)
42,ちぎ,2,ひらがなパーツ (1句目)
42,りき,2,ひらがなパーツ (1句目)
42,かた,2,漢字パーツ (2句目)
42,かたみ,3,漢字パーツ (2句目)
42,袖を,2,漢字パーツ (2句目)
42,に袖を,3,漢字パーツ (2句目)
42,みに,2,ひらがなパーツ (2句目)
42,そで,2,ひらがなパーツ (2句目)
42,そでを,3,ひらがなパーツ (2句目)
42,たみに,3,ひらがなパーツ (2句目)
42,でを,2,ひらがなパーツ (2句目)
42,しぼ,2,漢字パーツ (3句目)
42,りつつ,3,漢字パーツ (3句目)
43,あひ,2,決まり字
43,あい,2,現代語発音（全体）
43,逢ひ,2,漢字パーツ (1句目)
43,逢ひ見,3,漢字パーツ (1句目)
43,ての,2,漢字パーツ (1句目)
43,見ての,3,漢字パーツ (1句目)
43,みて,2,ひらがなパーツ (1句目)
43,みての,3,ひらがなパーツ (1句目)
43,のち,2,漢字パーツ (2句目)
43,のちの,3,漢字パーツ (2句目)
43,心に,2,漢字パーツ (2句目)
43,の心に,3,漢字パーツ (2句目)
43,のこ,2,ひらがなパーツ (2句目)
43,ころ,2,ひらがなパーツ (2句目)
43,ころに,3,ひらがなパーツ (2句目)
43,ちのこ,3,ひらがなパーツ (2句目)
43,ろに,2,ひらがなパーツ (2句目)
43,くら,2,漢字パーツ (3句目)
43,ぶれば,3,漢字パーツ (3句目)
44,あふこ,3,決まり字
44,おおこ,3,現代語発音（全体）
44,逢ふ,2,漢字パーツ (1句目)
44,逢ふこ,3,漢字パーツ (1句目)
44,との,2,漢字パーツ (1句目)
44,ことの,3,漢字パーツ (1句目)
44,あふ,2,ひらがなパーツ (1句目)
44,こと,2,ひらがなパーツ (1句目)
44,絶え,2,漢字パーツ (2句目)
44,絶えて,3,漢字パーツ (2句目)
44,くは,2,漢字パーツ (2句目)
44,なくは,3,漢字パーツ (2句目)
44,たえ,2,ひらがなパーツ (2句目)
44,てし,2,ひらがなパーツ (2句目)
44,なく,2,ひらがなパーツ (2句目)
44,えてし,3,ひらがなパーツ (2句目)
44,なか,2,漢字パーツ (3句目)
44,なかに,3,漢字パーツ (3句目)
45,あはれ,3,決まり字
45,あわれ,3,現代語発音（全体）
45,あは,2,漢字パーツ (1句目)
45,とも,2,漢字パーツ (1句目)
45,れとも,3,漢字パーツ (1句目)
45,れと,2,ひらがなパーツ (1句目)
45,いふ,2,漢字パーツ (2句目)
45,いふべ,3,漢字パーツ (2句目)
45,人は,2,漢字パーツ (2句目)
45,き人は,3,漢字パーツ (2句目)
45,べき,2,ひらがなパーツ (2句目)
45,ひと,2,ひらがなパーツ (2句目)
45,ひとは,3,ひらがなパーツ (2句目)
45,ふべき,3,ひらがなパーツ (2句目)
45,とは,2,ひらがなパーツ (2句目)
45,思ほ,2,漢字パーツ (3句目)
45,ほえで,3,漢字パーツ (3句目)
45,おも,2,ひらがなパーツ (3句目)
46,ゆら,2,決まり字
46,由良,2,漢字パーツ (1句目)
46,由良の,3,漢字パーツ (1句目)
46,門を,2,漢字パーツ (1句目)
46,の門を,3,漢字パーツ (1句目)
46,のと,2,ひらがなパーツ (1句目)
46,のとを,3,ひらがなパーツ (1句目)
46,とを,2,ひらがなパーツ (1句目)
46,渡る,2,漢字パーツ (2句目)
46,渡る舟,3,漢字パーツ (2句目)
46,舟人,2,漢字パーツ (2句目)
46,る舟人,3,漢字パーツ (2句目)
46,わた,2,ひらがなパーツ (2句目)
46,るふ,2,ひらがなパーツ (2句目)
46,なび,2,ひらがなパーツ (2句目)
46,なびと,3,ひらがなパーツ (2句目)
46,たるふ,3,ひらがなパーツ (2句目)
46,びと,2,ひらがなパーツ (2句目)
46,かぢ,2,漢字パーツ (3句目)
46,を絶え,3,漢字パーツ (3句目)
46,をたえ,3,ひらがなパーツ (3句目)
47,やへ,2,決まり字
47,やえ,2,現代語発音（全体）
47,八重,2,漢字パーツ (1句目)
47,八重む,3,漢字パーツ (1句目)
47,ぐら,2,漢字パーツ (1句目)
47,むぐら,3,漢字パーツ (1句目)
47,むぐ,2,ひらがなパーツ (1句目)
47,しげ,2,漢字パーツ (2句目)
47,しげれ,3,漢字パーツ (2句目)
47,宿の,2,漢字パーツ (2句目)
47,る宿の,3,漢字パーツ (2句目)
47,れる,2,ひらがなパーツ (2句目)
47,やど,2,ひらがなパーツ (2句目)
47,やどの,3,ひらがなパーツ (2句目)
47,げれる,3,ひらがなパーツ (2句目)
47,どの,2,ひらがなパーツ (2句目)
47,さび,2,漢字パーツ (3句目)
47,しきに,3,漢字パーツ (3句目)
48,かぜを,3,決まり字
48,風を,2,漢字パーツ (1句目)
48,風をい,3,漢字パーツ (1句目)
48,たみ,2,漢字パーツ (1句目)
48,いたみ,3,漢字パーツ (1句目)
48,かぜ,2,ひらがなパーツ (1句目)
48,をい,2,ひらがなパーツ (1句目)
48,岩う,2,漢字パーツ (2句目)
48,岩うつ,3,漢字パーツ (2句目)
48,波の,2,漢字パーツ (2句目)
48,つ波の,3,漢字パーツ (2句目)
48,いは,2,ひらがなパーツ (2句目)
48,うつ,2,ひらがなパーツ (2句目)
48,なみ,2,ひらがなパーツ (2句目)
48,なみの,3,ひらがなパーツ (2句目)
48,はうつ,3,ひらがなパーツ (2句目)
48,みの,2,ひらがなパーツ (2句目)
48,おの,2,漢字パーツ (3句目)
48,れのみ,3,漢字パーツ (3句目)
49,みかき,3,決まり字
49,御垣,2,漢字パーツ (1句目)
49,御垣守,3,漢字パーツ (1句目)
49,垣守,2,漢字パーツ (1句目)
49,みか,2,ひらがなパーツ (1句目)
49,きも,2,ひらがなパーツ (1句目)
49,きもり,3,ひらがなパーツ (1句目)
49,もり,2,ひらがなパーツ (1句目)
49,衛士,2,漢字パーツ (2句目)
49,衛士の,3,漢字パーツ (2句目)
49,火の,2,漢字パーツ (2句目)
49,く火の,3,漢字パーツ (2句目)
49,ゑじ,2,ひらがなパーツ (2句目)
49,のた,2,ひらがなパーツ (2句目)
49,くひ,2,ひらがなパーツ (2句目)
49,くひの,3,ひらがなパーツ (2句目)
49,じのた,3,ひらがなパーツ (2句目)
49,ひの,2,ひらがなパーツ (2句目)
49,夜は,2,漢字パーツ (3句目)
49,は燃え,3,漢字パーツ (3句目)
49,よる,2,ひらがなパーツ (3句目)
49,はもえ,3,ひらがなパーツ (3句目)
50,きみがためを,6,決まり字
50,君が,2,漢字パーツ (1句目)
50,君がた,3,漢字パーツ (1句目)
50,ため,2,漢字パーツ (1句目)
50,がため,3,漢字パーツ (1句目)
50,きみ,2,ひらがなパーツ (1句目)
50,がた,2,ひらがなパーツ (1句目)
50,惜し,2,漢字パーツ (2句目)
50,惜しか,3,漢字パーツ (2句目)
50,りし,2,漢字パーツ (2句目)
50,ざりし,3,漢字パーツ (2句目)
50,をし,2,ひらがなパーツ (2句目)
50,から,2,ひらがなパーツ (2句目)
50,ざり,2,ひらがなパーツ (2句目)
50,しから,3,ひらがなパーツ (2句目)
50,命さ,2,漢字パーツ (3句目)
50,命さへ,3,漢字パーツ (3句目)
50,いの,2,ひらがなパーツ (3句目)
50,ちさへ,3,ひらがなパーツ (3句目)
51,かく,2,決まり字
51,かくと,3,漢字パーツ (1句目)
51,だに,2,漢字パーツ (1句目)
51,とだに,3,漢字パーツ (1句目)
51,とだ,2,ひらがなパーツ (1句目)
51,えや,2,漢字パーツ (2句目)
51,えやは,3,漢字パーツ (2句目)
51,吹の,2,漢字パーツ (2句目)
51,伊吹の,3,漢字パーツ (2句目)
51,はい,2,ひらがなパーツ (2句目)
51,ぶき,2,ひらがなパーツ (2句目)
51,ぶきの,3,ひらがなパーツ (2句目)
51,やはい,3,ひらがなパーツ (2句目)
51,きの,2,ひらがなパーツ (2句目)
51,さし,2,漢字パーツ (3句目)
51,しも草,3,漢字パーツ (3句目)
51,もぐさ,3,ひらがなパーツ (3句目)
52,あけ,2,決まり字
52,明け,2,漢字パーツ (1句目)
52,明けぬ,3,漢字パーツ (1句目)
52,れば,2,漢字パーツ (1句目)
52,ぬれば,3,漢字パーツ (1句目)
52,ぬれ,2,ひらがなパーツ (1句目)
52,暮る,2,漢字パーツ (2句目)
52,暮るる,3,漢字パーツ (2句目)
52,とは,2,漢字パーツ (2句目)
52,のとは,3,漢字パーツ (2句目)
52,くる,2,ひらがなパーツ (2句目)
52,るも,2,ひらがなパーツ (2句目)
52,のと,2,ひらがなパーツ (2句目)
52,るるも,3,ひらがなパーツ (2句目)
52,知り,2,漢字パーツ (3句目)
52,ながら,3,漢字パーツ (3句目)
52,しり,2,ひらがなパーツ (3句目)
53,なげき,3,決まり字
53,嘆き,2,漢字パーツ (1句目)
53,嘆きつ,3,漢字パーツ (1句目)
53,つつ,2,漢字パーツ (1句目)
53,きつつ,3,漢字パーツ (1句目)
53,なげ,2,ひらがなパーツ (1句目)
53,きつ,2,ひらがなパーツ (1句目)
53,ひと,2,漢字パーツ (2句目)
53,ひとり,3,漢字パーツ (2句目)
53,夜の,2,漢字パーツ (2句目)
53,る夜の,3,漢字パーツ (2句目)
53,りね,2,ひらがなパーツ (2句目)
53,るよ,2,ひらがなパーツ (2句目)
53,るよの,3,ひらがなパーツ (2句目)
53,とりね,3,ひらがなパーツ (2句目)
53,よの,2,ひらがなパーツ (2句目)
53,明く,2,漢字パーツ (3句目)
53,る間は,3,漢字パーツ (3句目)
53,あく,2,ひらがなパーツ (3句目)
53,るまは,3,ひらがなパーツ (3句目)
54,わすれ,3,決まり字
54,忘れ,2,漢字パーツ (1句目)
54,忘れじ,3,漢字パーツ (1句目)
54,じの,2,漢字パーツ (1句目)
54,れじの,3,漢字パーツ (1句目)
54,わす,2,ひらがなパーツ (1句目)
54,れじ,2,ひらがなパーツ (1句目)
54,ゆく,2,漢字パーツ (2句目)
54,ゆく末,3,漢字パーツ (2句目)
54,では,2,漢字パーツ (2句目)
54,までは,3,漢字パーツ (2句目)
54,すゑ,2,ひらがなパーツ (2句目)
54,まで,2,ひらがなパーツ (2句目)
54,くすゑ,3,ひらがなパーツ (2句目)
54,かた,2,漢字パーツ (3句目)
54,ければ,3,漢字パーツ (3句目)
55,たき,2,決まり字
55,滝の,2,漢字パーツ (1句目)
55,滝の音,3,漢字パーツ (1句目)
55,音は,2,漢字パーツ (1句目)
55,の音は,3,漢字パーツ (1句目)
55,のお,2,ひらがなパーツ (1句目)
55,おとは,3,ひらがなパーツ (1句目)
55,とは,2,ひらがなパーツ (1句目)
55,絶え,2,漢字パーツ (2句目)
55,絶えて,3,漢字パーツ (2句目)
55,しく,2,漢字パーツ (2句目)
55,久しく,3,漢字パーツ (2句目)
55,たえ,2,ひらがなパーツ (2句目)
55,てひ,2,ひらがなパーツ (2句目)
55,さし,2,ひらがなパーツ (2句目)
55,さしく,3,ひらがなパーツ (2句目)
55,えてひ,3,ひらがなパーツ (2句目)
55,なり,2,漢字パーツ (3句目)
55,ぬれど,3,漢字パーツ (3句目)
56,あらざ,3,決まり字
56,あら,2,漢字パーツ (1句目)
56,らむ,2,漢字パーツ (1句目)
56,ざらむ,3,漢字パーツ (1句目)
56,ざら,2,ひらがなパーツ (1句目)
56,この,2,漢字パーツ (2句目)
56,この世,3,漢字パーツ (2句目)
56,かの,2,漢字パーツ (2句目)
56,ほかの,3,漢字パーツ (2句目)
56,よの,2,ひらがなパーツ (2句目)
56,ほか,2,ひらがなパーツ (2句目)
56,のよの,3,ひらがなパーツ (2句目)
56,思ひ,2,漢字パーツ (3句目)
56,ひ出に,3,漢字パーツ (3句目)
56,おも,2,ひらがなパーツ (3句目)
56,ひでに,3,ひらがなパーツ (3句目)
57,め,1,決まり字
57,めぐ,2,漢字パーツ (1句目)
57,めぐり,3,漢字パーツ (1句目)
57,ひて,2,漢字パーツ (1句目)
57,逢ひて,3,漢字パーツ (1句目)
57,りあ,2,ひらがなパーツ (1句目)
57,あひて,3,ひらがなパーツ (1句目)
57,見し,2,漢字パーツ (2句目)
57,見しや,3,漢字パーツ (2句目)
57,とも,2,漢字パーツ (2句目)
57,れとも,3,漢字パーツ (2句目)
57,みし,2,ひらがなパーツ (2句目)
57,やそ,2,ひらがなパーツ (2句目)
57,れと,2,ひらがなパーツ (2句目)
57,しやそ,3,ひらがなパーツ (2句目)
57,わか,2,漢字パーツ (3句目)
57,ぬ間に,3,漢字パーツ (3句目)
57,ぬまに,3,ひらがなパーツ (3句目)
58,ありま,3,決まり字
58,有馬,2,漢字パーツ (1句目)
58,有馬山,3,漢字パーツ (1句目)
58,馬山,2,漢字パーツ (1句目)
58,あり,2,ひらがなパーツ (1句目)
58,まや,2,ひらがなパーツ (1句目)
58,まやま,3,ひらがなパーツ (1句目)
58,やま,2,ひらがなパーツ (1句目)
58,猪名,2,漢字パーツ (2句目)
58,猪名の,3,漢字パーツ (2句目)
58,笹原,2,漢字パーツ (2句目)
58,の笹原,3,漢字パーツ (2句目)
58,ゐな,2,ひらがなパーツ (2句目)
58,のさ,2,ひらがなパーツ (2句目)
58,さは,2,ひらがなパーツ (2句目)
58,さはら,3,ひらがなパーツ (2句目)
58,なのさ,3,ひらがなパーツ (2句目)
58,はら,2,ひらがなパーツ (2句目)
58,風吹,2,漢字パーツ (3句目)
58,吹けば,3,漢字パーツ (3句目)
58,かぜ,2,ひらがなパーツ (3句目)
58,ふけば,3,ひらがなパーツ (3句目)
59,やす,2,決まり字
59,やすら,3,漢字パーツ (1句目)
59,はで,2,漢字パーツ (1句目)
59,らはで,3,漢字パーツ (1句目)
59,らは,2,ひらがなパーツ (1句目)
59,寝な,2,漢字パーツ (2句目)
59,寝なま,3,漢字パーツ (2句目)
59,のを,2,漢字パーツ (2句目)
59,ものを,3,漢字パーツ (2句目)
59,ねな,2,ひらがなパーツ (2句目)
59,まし,2,ひらがなパーツ (2句目)
59,もの,2,ひらがなパーツ (2句目)
59,なまし,3,ひらがなパーツ (2句目)
59,さ夜,2,漢字パーツ (3句目)
59,更けて,3,漢字パーツ (3句目)
59,さよ,2,ひらがなパーツ (3句目)
59,ふけて,3,ひらがなパーツ (3句目)
60,おほえ,3,決まり字
60,おおえ,3,現代語発音（全体）
60,大江,2,漢字パーツ (1句目)
60,大江山,3,漢字パーツ (1句目)
60,江山,2,漢字パーツ (1句目)
60,おほ,2,ひらがなパーツ (1句目)
60,えや,2,ひらがなパーツ (1句目)
60,えやま,3,ひらがなパーツ (1句目)
60,やま,2,ひらがなパーツ (1句目)
60,いく,2,漢字パーツ (2句目)
60,いく野,3,漢字パーツ (2句目)
60,道の,2,漢字パーツ (2句目)
60,の道の,3,漢字パーツ (2句目)
60,のの,2,ひらがなパーツ (2句目)
60,みち,2,ひらがなパーツ (2句目)
60,みちの,3,ひらがなパーツ (2句目)
60,くのの,3,ひらがなパーツ (2句目)
60,ちの,2,ひらがなパーツ (2句目)
60,遠け,2,漢字パーツ (3句目)
60,ければ,3,漢字パーツ (3句目)
60,とほ,2,ひらがなパーツ (3句目)
61,いに,2,決まり字
61,いにし,3,漢字パーツ (1句目)
61,への,2,漢字パーツ (1句目)
61,しへの,3,漢字パーツ (1句目)
61,しへ,2,ひらがなパーツ (1句目)
61,奈良,2,漢字パーツ (2句目)
61,奈良の,3,漢字パーツ (2句目)
61,都の,2,漢字パーツ (2句目)
61,の都の,3,漢字パーツ (2句目)
61,なら,2,ひらがなパーツ (2句目)
61,のみ,2,ひらがなパーツ (2句目)
61,やこ,2,ひらがなパーツ (2句目)
61,やこの,3,ひらがなパーツ (2句目)
61,らのみ,3,ひらがなパーツ (2句目)
61,この,2,ひらがなパーツ (2句目)
61,八重,2,漢字パーツ (3句目)
61,八重桜,3,漢字パーツ (3句目)
61,やへ,2,ひらがなパーツ (3句目)
61,ざくら,3,ひらがなパーツ (3句目)
62,よを,2,決まり字
62,よお,2,現代語発音（全体）
62,夜を,2,漢字パーツ (1句目)
62,夜をこ,3,漢字パーツ (1句目)
62,めて,2,漢字パーツ (1句目)
62,こめて,3,漢字パーツ (1句目)
62,こめ,2,ひらがなパーツ (1句目)
62,鳥の,2,漢字パーツ (2句目)
62,鳥の空,3,漢字パーツ (2句目)
62,音は,2,漢字パーツ (2句目)
62,空音は,3,漢字パーツ (2句目)
62,とり,2,ひらがなパーツ (2句目)
62,のそ,2,ひらがなパーツ (2句目)
62,らね,2,ひらがなパーツ (2句目)
62,らねは,3,ひらがなパーツ (2句目)
62,りのそ,3,ひらがなパーツ (2句目)
62,ねは,2,ひらがなパーツ (2句目)
62,謀る,2,漢字パーツ (3句目)
62,るとも,3,漢字パーツ (3句目)
62,はか,2,ひらがなパーツ (3句目)
63,いまは,3,決まり字
63,今は,2,漢字パーツ (1句目)
63,今はた,3,漢字パーツ (1句目)
63,ただ,2,漢字パーツ (1句目)
63,はただ,3,漢字パーツ (1句目)
63,いま,2,ひらがなパーツ (1句目)
63,はた,2,ひらがなパーツ (1句目)
63,思ひ,2,漢字パーツ (2句目)
63,思ひ絶,3,漢字パーツ (2句目)
63,なむ,2,漢字パーツ (2句目)
63,えなむ,3,漢字パーツ (2句目)
63,おも,2,ひらがなパーツ (2句目)
63,ひた,2,ひらがなパーツ (2句目)
63,えな,2,ひらがなパーツ (2句目)
63,もひた,3,ひらがなパーツ (2句目)
63,とば,2,漢字パーツ (3句目)
63,かりを,3,漢字パーツ (3句目)
64,あさぼらけう,6,決まり字
64,朝ぼ,2,漢字パーツ (1句目)
64,朝ぼら,3,漢字パーツ (1句目)
64,らけ,2,漢字パーツ (1句目)
64,ぼらけ,3,漢字パーツ (1句目)
64,あさ,2,ひらがなパーツ (1句目)
64,ぼら,2,ひらがなパーツ (1句目)
64,宇治,2,漢字パーツ (2句目)
64,宇治の,3,漢字パーツ (2句目)
64,川霧,2,漢字パーツ (2句目)
64,の川霧,3,漢字パーツ (2句目)
64,うぢ,2,ひらがなパーツ (2句目)
64,のか,2,ひらがなパーツ (2句目)
64,はぎ,2,ひらがなパーツ (2句目)
64,はぎり,3,ひらがなパーツ (2句目)
64,ぢのか,3,ひらがなパーツ (2句目)
64,ぎり,2,ひらがなパーツ (2句目)
64,たえ,2,漢字パーツ (3句目)
64,だえに,3,漢字パーツ (3句目)
65,うら,2,決まり字
65,恨み,2,漢字パーツ (1句目)
65,恨みわ,3,漢字パーツ (1句目)
65,わび,2,漢字パーツ (1句目)
65,みわび,3,漢字パーツ (1句目)
65,みわ,2,ひらがなパーツ (1句目)
65,ほさ,2,漢字パーツ (2句目)
65,ほさぬ,3,漢字パーツ (2句目)
65,だに,2,漢字パーツ (2句目)
65,袖だに,3,漢字パーツ (2句目)
65,ぬそ,2,ひらがなパーツ (2句目)
65,でだ,2,ひらがなパーツ (2句目)
65,でだに,3,ひらがなパーツ (2句目)
65,さぬそ,3,ひらがなパーツ (2句目)
65,ある,2,漢字パーツ (3句目)
65,ものを,3,漢字パーツ (3句目)
66,もろ,2,決まり字
66,もろと,3,漢字パーツ (1句目)
66,もに,2,漢字パーツ (1句目)
66,ともに,3,漢字パーツ (1句目)
66,とも,2,ひらがなパーツ (1句目)
66,あは,2,漢字パーツ (2句目)
66,あはれ,3,漢字パーツ (2句目)
66,思へ,2,漢字パーツ (2句目)
66,と思へ,3,漢字パーツ (2句目)
66,れと,2,ひらがなパーツ (2句目)
66,おも,2,ひらがなパーツ (2句目)
66,おもへ,3,ひらがなパーツ (2句目)
66,はれと,3,ひらがなパーツ (2句目)
66,もへ,2,ひらがなパーツ (2句目)
66,山桜,2,漢字パーツ (3句目)
66,やま,2,ひらがなパーツ (3句目)
66,ざくら,3,ひらがなパーツ (3句目)
67,はるの,3,決まり字
67,春の,2,漢字パーツ (1句目)
67,春の夜,3,漢字パーツ (1句目)
67,夜の,2,漢字パーツ (1句目)
67,の夜の,3,漢字パーツ (1句目)
67,はる,2,ひらがなパーツ (1句目)
67,のよ,2,ひらがなパーツ (1句目)
67,のよの,3,ひらがなパーツ (1句目)
67,よの,2,ひらがなパーツ (1句目)
67,夢ば,2,漢字パーツ (2句目)
67,夢ばか,3,漢字パーツ (2句目)
67,なる,2,漢字パーツ (2句目)
67,りなる,3,漢字パーツ (2句目)
67,ゆめ,2,ひらがなパーツ (2句目)
67,ばか,2,ひらがなパーツ (2句目)
67,りな,2,ひらがなパーツ (2句目)
67,めばか,3,ひらがなパーツ (2句目)
67,手枕,2,漢字パーツ (3句目)
67,手枕に,3,漢字パーツ (3句目)
67,たま,2,ひらがなパーツ (3句目)
67,くらに,3,ひらがなパーツ (3句目)
68,こころに,4,決まり字
68,心に,2,漢字パーツ (1句目)
68,心にも,3,漢字パーツ (1句目)
68,にも,2,漢字パーツ (1句目)
68,ここ,2,ひらがなパーツ (1句目)
68,ろに,2,ひらがなパーツ (1句目)
68,ろにも,3,ひらがなパーツ (1句目)
68,あら,2,漢字パーツ (2句目)
68,あらで,3,漢字パーツ (2句目)
68,夜に,2,漢字パーツ (2句目)
68,き夜に,3,漢字パーツ (2句目)
68,でう,2,ひらがなパーツ (2句目)
68,きよ,2,ひらがなパーツ (2句目)
68,きよに,3,ひらがなパーツ (2句目)
68,らでう,3,ひらがなパーツ (2句目)
