Timestamp,GPU Name,GPU Util (%),VRAM Used (MB),VRAM Total (MB),Temp (C)
2026-09-01 18:03:05,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,49.0
2026-09-01 18:03:15,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,49.0
2026-09-01 18:03:25,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,50.0
2026-09-01 18:03:35,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,50.0
2026-09-01 18:03:45,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,50.0
2026-09-01 18:03:55,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,51.0
2026-09-01 18:04:05,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,51.0
2026-09-01 18:04:15,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,51.0
2026-09-01 18:04:26,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,52.0
2026-09-01 18:04:36,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,52.0
2026-09-01 18:04:46,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,53.0
2026-09-01 18:04:56,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,54.0
2026-09-01 18:05:06,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,54.0
2026-09-01 18:05:16,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,53.0
2026-09-01 18:05:26,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,53.0
2026-09-01 18:05:36,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,53.0
